Metric,Baseline,Innovation,Improvement
Loss,1.4753010954175676,1.177475196974618,20.2%
MSE,0.8667913930756705,0.8667912398065839,0.0%
PSNR,11.450961520302519,11.451600613137826,0.0%
SSIM,0.02783092111349106,0.027799803763628006,-0.1%
Perplexity,1.8437237398965018,1.4325502599988664,22.3%
BLEU-4,0.8569458050544653,0.9237973738399793,7.8%
